Age,Gender,Marital_Status,Attrition,Attrition_Flag,Business_Travel,Department,Education_Level,Education_Field,Daily_Rate,Hourly_Rate,Monthly_Income,Monthly_Rate,Percent_Salary_Hike,Stock_Option_Level,Job_Role,Job_Level,Job_Involvement,Overtime,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Performance_Rating,Total_Working_Years,Num_Companies_Worked,Training_Times_Last_Year,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Current_Manager,Distance_From_Home,Age_Group,Income_Bracket,Tenure_Group
31,Male,Divorced,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",670,31,2911,15170,17,1,"Research Scientist",1,High,No,Low,High,"Very High",Good,Excellent,5,1,1,5,2,4,3,26,"Early Career","Low Income","Early Tenure"
34,Male,Divorced,No,0,Travel_Rarely,"Research & Development",College,Medical,1346,93,2661,8758,11,1,"Laboratory Technician",1,High,No,Medium,"Very High",High,Better,Excellent,3,0,2,2,2,1,2,19,"Early Career","Low Income","New Employee"
28,Male,Single,Yes,1,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",103,50,2028,12947,14,0,"Laboratory Technician",1,Medium,Yes,High,High,Medium,Better,Excellent,6,5,4,4,2,0,3,24,"Early Career","Low Income","Early Tenure"
29,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",1389,51,9980,10195,11,1,"Manufacturing Director",3,"Very High",No,Medium,Low,High,Better,Excellent,10,1,1,10,9,8,8,21,"Early Career","High Income",Experienced
32,Male,Divorced,No,0,Travel_Rarely,"Research & Development",College,"Life Sciences",334,80,3298,15053,12,2,"Research Scientist",1,"Very High",Yes,Low,Medium,"Very High",Good,Excellent,7,0,5,6,2,0,5,5,"Early Career","Mid Income",Experienced
22,Male,Divorced,No,0,Non-Travel,"Research & Development",College,Medical,1123,96,2935,7324,13,2,"Laboratory Technician",1,"Very High",Yes,"Very High","Very High",Medium,Good,Excellent,1,1,2,1,0,0,0,16,"Young Adult","Low Income","New Employee"
53,Female,Married,No,0,Travel_Rarely,Sales,Master,"Life Sciences",1219,78,15427,22021,16,0,Manager,4,Medium,No,Low,"Very High",High,Better,Excellent,31,2,3,25,8,3,7,2,"Senior Employee","High Income",Veteran
38,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",371,45,3944,4306,11,0,"Research Scientist",1,High,Yes,"Very High","Very High",High,Better,Excellent,6,5,3,3,2,1,2,2,"Mid Career","Mid Income","Early Tenure"
24,Female,Divorced,No,0,Non-Travel,"Research & Development",College,Other,673,96,4011,8232,18,1,"Manufacturing Director",2,"Very High",No,Low,High,"Very High",Good,Excellent,5,0,5,4,2,1,3,11,"Young Adult","Mid Income","Early Tenure"
36,Male,Single,Yes,1,Travel_Rarely,Sales,Master,"Life Sciences",1218,82,3407,6986,23,0,"Sales Representative",1,Medium,No,High,Low,Medium,Better,Outstanding,10,7,4,5,3,0,3,9,"Mid Career","Mid Income","Early Tenure"
34,Female,Single,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",419,53,11994,21293,11,0,"Research Director",3,High,No,Low,Medium,High,Better,Excellent,13,0,4,12,6,2,11,7,"Early Career","High Income",Veteran
21,Male,Single,No,0,Travel_Rarely,"Research & Development",College,"Life Sciences",391,96,1232,19281,14,0,"Research Scientist",1,High,No,High,"Very High","Very High",Better,Excellent,0,1,6,0,0,0,0,15,"Young Adult","Low Income","New Employee"
34,Male,Single,Yes,1,Travel_Rarely,"Research & Development","Below College",Medical,699,83,2960,17102,11,0,"Research Scientist",1,High,No,Medium,Low,High,Better,Excellent,8,2,2,4,2,1,3,6,"Early Career","Low Income","Early Tenure"
53,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,Other,1282,58,19094,10735,11,1,Manager,5,High,No,High,High,"Very High",Good,Excellent,26,4,3,14,13,4,8,5,"Senior Employee","High Income",Veteran
32,Female,Single,Yes,1,Travel_Frequently,"Research & Development","Below College","Life Sciences",1125,72,3919,4681,22,0,"Research Scientist",1,Low,Yes,Medium,Low,Medium,Better,Outstanding,10,1,5,10,2,6,7,16,"Early Career","Mid Income",Experienced
42,Male,Married,No,0,Travel_Rarely,Sales,Master,Marketing,691,48,6825,21173,11,1,"Sales Executive",2,High,No,High,Medium,"Very High",Better,Excellent,10,0,2,9,7,4,2,8,"Mid Career","Mid Income",Experienced
44,Female,Married,No,0,Travel_Rarely,"Research & Development",Master,Medical,477,42,10248,2094,14,1,"Healthcare Representative",3,Medium,No,Low,"Very High","Very High",Better,Excellent,24,3,4,22,6,5,17,7,"Mid Career","High Income",Veteran
46,Female,Single,No,0,Travel_Rarely,Sales,Master,Marketing,705,83,18947,22822,12,0,Manager,5,High,No,Medium,Low,"Very High",Good,Excellent,22,3,2,2,2,2,1,2,"Senior Employee","High Income","New Employee"
33,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,924,78,2496,6670,11,0,"Laboratory Technician",1,High,No,High,"Very High","Very High",Better,Excellent,7,4,3,1,1,0,0,2,"Early Career","Low Income","New Employee"
44,Male,Married,No,0,Travel_Rarely,"Research & Development",Master,Other,1459,41,6465,19121,13,0,"Healthcare Representative",2,High,Yes,"Very High","Very High","Very High",Best,Excellent,9,2,5,4,2,1,3,10,"Mid Career","Mid Income","Early Tenure"
30,Male,Single,No,0,Travel_Rarely,"Research & Development",College,Medical,125,83,2206,16117,13,0,"Laboratory Technician",1,Medium,No,"Very High",High,Low,Better,Excellent,10,1,5,10,0,1,8,9,"Early Career","Low Income",Experienced
39,Male,Married,Yes,1,Travel_Rarely,Sales,Bachelor,"Technical Degree",895,56,2086,3335,14,1,"Sales Representative",2,High,No,"Very High","Very High",High,Best,Excellent,19,3,6,1,0,0,0,5,"Mid Career","Low Income","New Employee"
24,Male,Married,Yes,1,Travel_Rarely,"Research & Development",Bachelor,Medical,813,61,2293,3020,16,1,"Research Scientist",1,High,Yes,Medium,"Very High",Low,Good,Excellent,6,2,2,2,0,2,0,1,"Young Adult","Low Income","New Employee"
43,Female,Divorced,No,0,Travel_Rarely,"Research & Development",College,Medical,1273,72,2645,21923,12,2,"Research Scientist",1,"Very High",No,"Very High",High,"Very High",Good,Excellent,6,1,3,5,3,1,4,2,"Mid Career","Low Income","Early Tenure"
50,Male,Married,Yes,1,Travel_Rarely,Sales,College,Marketing,869,86,2683,3810,14,0,"Sales Representative",1,Medium,Yes,Low,High,High,Better,Excellent,3,1,2,3,2,0,2,3,"Senior Employee","Low Income","Early Tenure"
35,Female,Married,No,0,Travel_Rarely,Sales,Bachelor,Marketing,890,97,2014,9687,13,0,"Sales Representative",1,High,No,"Very High","Very High",Low,Better,Excellent,2,1,3,2,2,2,2,2,"Early Career","Low Income","New Employee"
36,Female,Married,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",852,82,3419,13072,14,1,"Research Scientist",1,Medium,Yes,Medium,Low,"Very High",Best,Excellent,6,9,3,1,1,0,0,5,"Mid Career","Mid Income","New Employee"
33,Female,Married,No,0,Travel_Frequently,Sales,Bachelor,"Life Sciences",1141,42,5376,3193,19,2,"Sales Executive",2,"Very High",No,High,Low,Low,Better,Excellent,10,2,3,5,3,1,3,1,"Early Career","Mid Income","Early Tenure"
35,Male,Divorced,No,0,Travel_Rarely,"Research & Development",College,Other,464,75,1951,10910,12,1,"Laboratory Technician",1,High,No,High,"Very High",High,Better,Excellent,1,1,3,1,0,0,0,4,"Early Career","Low Income","New Employee"
27,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",1240,33,2341,19715,13,1,"Laboratory Technician",1,High,No,"Very High",Low,"Very High",Better,Excellent,1,1,6,1,0,0,0,2,"Early Career","Low Income","New Employee"
26,Male,Single,Yes,1,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1357,48,2293,10558,12,0,"Laboratory Technician",1,Low,No,Low,High,High,Good,Excellent,1,1,2,1,0,0,1,25,"Early Career","Low Income","New Employee"
27,Male,Single,No,0,Travel_Frequently,Sales,Bachelor,"Life Sciences",994,37,8726,2975,15,0,"Sales Executive",3,High,No,"Very High",High,"Very High",Better,Excellent,9,1,0,9,8,1,7,8,"Early Career","High Income",Experienced
30,Female,Single,No,0,Travel_Frequently,"Research & Development",College,Medical,721,58,4011,10781,23,0,"Laboratory Technician",2,High,No,High,"Very High","Very High",Better,Outstanding,12,1,2,12,8,3,7,1,"Early Career","Mid Income",Veteran
41,Female,Married,Yes,1,Travel_Rarely,"Research & Development",Bachelor,"Technical Degree",1360,49,19545,16280,12,0,"Research Director",5,High,No,Medium,High,"Very High",Better,Excellent,23,1,0,22,15,15,8,12,"Mid Career","High Income",Veteran
34,Male,Single,No,0,Non-Travel,Sales,Master,Marketing,1065,72,4568,10034,20,0,"Sales Executive",2,High,No,Medium,High,High,Better,Outstanding,10,0,2,9,5,8,7,23,"Early Career","Mid Income",Experienced
37,Male,Married,No,0,Travel_Rarely,"Research & Development",College,"Life Sciences",408,73,3022,10227,21,0,"Research Scientist",1,High,No,Medium,Medium,Low,Better,Outstanding,8,4,1,1,0,0,0,19,"Mid Career","Mid Income","New Employee"
46,Male,Single,No,0,Travel_Frequently,Sales,Master,Marketing,1211,98,5772,20445,21,0,"Sales Executive",2,High,Yes,Low,"Very High",High,Better,Outstanding,14,4,4,9,6,0,8,5,"Senior Employee","Mid Income",Experienced
35,Male,Married,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",1229,36,2269,4892,19,0,"Laboratory Technician",1,"Very High",No,"Very High","Very High","Very High",Better,Excellent,1,1,2,1,0,0,1,8,"Early Career","Low Income","New Employee"
48,Male,Single,Yes,1,Travel_Rarely,"Research & Development",College,"Life Sciences",626,98,5381,19294,13,0,"Laboratory Technician",3,Medium,Yes,Low,High,"Very High",Better,Excellent,23,9,2,1,0,0,0,1,"Senior Employee","Mid Income","New Employee"
28,Male,Single,Yes,1,Travel_Rarely,"Research & Development",Master,"Technical Degree",1434,50,3441,11179,13,0,"Laboratory Technician",1,High,Yes,High,High,High,Good,Excellent,2,1,3,2,2,2,2,5,"Early Career","Mid Income","New Employee"
44,Female,Divorced,No,0,Travel_Rarely,Sales,Doctor,Marketing,1488,75,5454,4009,21,1,"Sales Executive",2,High,Yes,Medium,Low,High,Good,Outstanding,9,5,2,4,3,1,3,1,"Mid Career","Mid Income","Early Tenure"
35,Male,Married,No,0,Non-Travel,"Research & Development",College,Medical,1097,79,9884,8302,13,1,"Healthcare Representative",3,Medium,Yes,High,Low,High,Better,Excellent,10,2,3,4,0,2,3,11,"Early Career","High Income","Early Tenure"
26,Female,Married,No,0,Travel_Rarely,Sales,Bachelor,Marketing,1443,47,4157,21436,19,1,"Sales Executive",2,Medium,Yes,High,"Very High",High,Good,Excellent,5,7,2,2,2,0,0,23,"Early Career","Mid Income","New Employee"
33,Female,Single,No,0,Travel_Frequently,"Research & Development",College,"Life Sciences",515,98,13458,15146,12,0,"Research Director",3,High,Yes,Low,"Very High",High,Better,Excellent,15,1,1,15,14,8,12,1,"Early Career","High Income",Veteran
35,Male,Married,No,0,Travel_Frequently,Sales,Doctor,"Life Sciences",853,71,9069,11031,22,1,"Sales Executive",3,High,No,Medium,Low,"Very High",Good,Outstanding,9,1,3,9,8,1,8,18,"Early Career","High Income",Experienced
35,Female,Married,No,0,Travel_Rarely,"Research & Development",Master,Medical,1142,30,4014,16002,15,1,"Laboratory Technician",1,High,Yes,High,Low,High,Better,Excellent,4,3,3,2,2,2,2,23,"Early Career","Mid Income","New Employee"
31,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",655,48,5915,9528,22,1,"Laboratory Technician",2,High,No,"Very High","Very High","Very High",Good,Outstanding,10,3,3,7,7,1,7,7,"Early Career","Mid Income",Experienced
37,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",1115,51,5993,2689,18,1,"Manufacturing Director",2,Medium,No,Low,High,High,Best,Excellent,7,1,2,7,5,0,7,1,"Mid Career","Mid Income",Experienced
32,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,427,33,6162,10877,22,1,"Manufacturing Director",2,High,Yes,Low,"Very High",Medium,Better,Outstanding,9,1,3,9,8,7,8,1,"Early Career","Mid Income",Experienced
38,Female,Single,No,0,Travel_Frequently,"Research & Development",Doctor,"Life Sciences",653,50,2406,5456,11,0,"Laboratory Technician",2,High,No,"Very High","Very High","Very High",Better,Excellent,10,1,2,10,3,9,9,29,"Mid Career","Low Income",Experienced
50,Female,Divorced,No,0,Travel_Rarely,"Research & Development",College,Medical,989,43,18740,16701,12,1,"Research Director",5,Medium,Yes,Medium,High,"Very High",Good,Excellent,29,5,2,27,3,13,8,7,"Senior Employee","High Income",Veteran
59,Female,Single,No,0,Travel_Rarely,Sales,Bachelor,"Life Sciences",1435,99,7637,2354,11,0,"Sales Executive",3,High,No,Low,Low,"Very High",Good,Excellent,28,7,3,21,16,7,9,25,"Senior Employee","High Income",Veteran
36,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,"Technical Degree",1223,59,10096,8202,13,3,"Healthcare Representative",3,High,No,High,High,Medium,Better,Excellent,17,1,2,17,14,12,8,8,"Mid Career","High Income",Veteran
55,Female,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,836,33,14756,19730,14,3,Manager,4,High,Yes,"Very High",High,High,Better,Excellent,21,2,2,5,0,0,2,8,"Senior Employee","High Income","Early Tenure"
36,Male,Single,No,0,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",1195,95,6499,22656,13,0,"Manufacturing Director",2,Medium,No,Medium,Medium,High,Better,Excellent,6,1,3,6,5,0,3,11,"Mid Career","Mid Income",Experienced
45,Male,Divorced,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1339,59,9724,18787,17,1,"Research Scientist",3,High,No,Medium,Low,High,Better,Excellent,25,2,2,1,0,0,0,7,"Mid Career","High Income","New Employee"
35,Male,Married,No,0,Travel_Frequently,"Research & Development",Bachelor,Medical,664,79,2194,5868,13,1,"Research Scientist",1,High,No,Medium,Low,"Very High",Good,Excellent,5,4,2,3,2,1,2,1,"Early Career","Low Income","Early Tenure"
36,Male,Married,Yes,1,Travel_Rarely,"Research & Development",Bachelor,Medical,318,79,3388,21777,17,1,"Research Scientist",1,Medium,Yes,"Very High",High,Low,Good,Excellent,2,0,0,1,0,0,0,9,"Mid Career","Mid Income","New Employee"
59,Female,Single,No,0,Travel_Frequently,Sales,"Below College","Life Sciences",1225,57,5473,24668,11,0,"Sales Executive",2,Medium,No,Low,High,"Very High",Good,Excellent,20,7,2,4,3,1,3,1,"Senior Employee","Mid Income","Early Tenure"
29,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1328,76,2703,4956,23,1,"Research Scientist",1,High,No,High,Medium,"Very High",Better,Outstanding,6,0,3,5,4,0,4,2,"Early Career","Low Income","Early Tenure"
31,Male,Single,No,0,Travel_Rarely,"Research & Development",Master,Medical,1082,87,2501,18775,17,0,"Research Scientist",1,High,No,High,Medium,Medium,Better,Excellent,1,1,4,1,1,1,0,1,"Early Career","Low Income","New Employee"
32,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",548,66,6220,7346,17,2,"Research Scientist",2,High,No,Medium,Medium,Medium,Better,Excellent,10,1,3,10,4,0,9,1,"Early Career","Mid Income",Experienced
36,Female,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",132,55,3038,22002,12,0,"Laboratory Technician",1,"Very High",No,Medium,"Very High",Medium,Better,Excellent,5,3,3,1,0,0,0,6,"Mid Career","Mid Income","New Employee"
31,Female,Single,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",746,61,4424,20682,23,0,"Manufacturing Director",2,High,No,High,"Very High","Very High",Better,Outstanding,11,1,2,11,7,1,8,8,"Early Career","Mid Income",Veteran
35,Male,Single,No,0,Travel_Rarely,Sales,Master,Marketing,776,32,4312,23016,14,0,"Sales Executive",2,Medium,No,High,Low,Medium,Better,Excellent,16,0,2,15,13,2,8,1,"Early Career","Mid Income",Veteran
45,Male,Married,No,0,Travel_Rarely,"Research & Development",Master,Other,193,52,13245,15067,14,0,"Research Director",3,High,Yes,"Very High",Low,Medium,Best,Excellent,17,4,3,0,0,0,0,6,"Mid Career","High Income","New Employee"
37,Male,Single,No,0,Travel_Rarely,"Research & Development",Master,Medical,397,30,13664,25258,13,0,"Research Director",3,High,No,Low,High,Low,Best,Excellent,16,4,3,5,2,0,2,7,"Mid Career","High Income","Early Tenure"
46,Male,Divorced,No,0,Travel_Rarely,"Human Resources",College,Medical,945,80,5021,10425,22,1,"Human Resources",2,High,Yes,Medium,Medium,"Very High",Better,Outstanding,16,8,2,4,2,0,2,5,"Senior Employee","Mid Income","Early Tenure"
30,Male,Married,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",852,55,5126,15998,12,2,"Laboratory Technician",2,Medium,Yes,"Very High","Very High",High,Good,Excellent,10,1,1,10,8,3,0,1,"Early Career","Mid Income",Experienced
35,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1214,30,2859,26278,18,0,"Research Scientist",1,Medium,No,Medium,High,Low,Better,Excellent,6,1,3,6,4,0,4,1,"Early Career","Low Income",Experienced
55,Male,Married,No,0,Travel_Rarely,Sales,College,"Life Sciences",111,70,10239,18092,14,1,"Sales Executive",3,High,No,Low,"Very High","Very High",Better,Excellent,24,3,4,1,0,1,0,1,"Senior Employee","High Income","New Employee"
38,Female,Divorced,No,0,Non-Travel,"Research & Development",Bachelor,Medical,573,79,5329,15717,12,3,"Research Scientist",2,Low,Yes,Medium,"Very High","Very High",Better,Excellent,17,7,3,13,11,1,9,6,"Mid Career","Mid Income",Veteran
34,Male,Married,No,0,Travel_Rarely,"Research & Development",College,Medical,1153,94,4325,17736,15,0,"Manufacturing Director",2,High,No,Low,Medium,High,Better,Excellent,5,1,2,5,2,1,3,1,"Early Career","Mid Income","Early Tenure"
56,Male,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",1400,49,7260,21698,11,0,"Manufacturing Director",3,Low,No,"Very High","Very High",Low,Good,Excellent,37,4,3,6,4,0,2,7,"Senior Employee","High Income",Experienced
23,Male,Divorced,No,0,Travel_Rarely,Sales,"Below College","Technical Degree",541,62,2322,9518,13,1,"Sales Representative",1,High,No,High,Low,High,Better,Excellent,3,3,3,0,0,0,0,2,"Young Adult","Low Income","New Employee"
51,Male,Married,No,0,Travel_Rarely,"Research & Development",Master,"Life Sciences",432,96,2075,18725,23,2,"Laboratory Technician",1,High,No,"Very High","Very High",Medium,Better,Outstanding,10,3,4,4,2,0,3,9,"Senior Employee","Low Income","Early Tenure"
30,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,"Life Sciences",288,99,4152,15830,19,3,"Healthcare Representative",2,Medium,No,High,"Very High",Low,Better,Excellent,11,1,3,11,10,10,8,2,"Early Career","Mid Income",Veteran
46,Male,Single,Yes,1,Travel_Rarely,Sales,College,Medical,669,64,9619,13596,16,0,"Sales Executive",3,Medium,No,High,"Very High","Very High",Better,Excellent,9,1,3,9,8,4,7,9,"Senior Employee","High Income",Experienced
40,Male,Married,No,0,Travel_Frequently,"Research & Development",Master,"Life Sciences",530,78,13503,14115,22,1,"Healthcare Representative",4,Medium,No,High,Medium,"Very High",Good,Outstanding,22,1,3,22,3,11,11,1,"Mid Career","High Income",Veteran
51,Male,Single,No,0,Travel_Rarely,Sales,Master,Marketing,632,71,5441,8423,22,0,"Sales Executive",2,High,Yes,High,"Very High","Very High",Bad,Outstanding,11,0,2,10,7,1,0,21,"Senior Employee","Mid Income",Experienced
30,Female,Divorced,No,0,Travel_Rarely,Sales,College,Medical,1334,63,5209,19760,12,3,"Sales Executive",2,Medium,Yes,High,Medium,Medium,Good,Excellent,11,1,4,11,8,2,7,4,"Early Career","Mid Income",Veteran
46,Male,Married,No,0,Travel_Frequently,"Research & Development",Bachelor,Medical,638,40,10673,3142,13,1,"Healthcare Representative",3,Medium,Yes,High,Low,High,Good,Excellent,21,2,5,10,9,9,5,1,"Senior Employee","High Income",Experienced
32,Male,Single,No,0,Travel_Rarely,Sales,Master,Medical,1093,87,5010,24301,16,0,"Sales Executive",2,High,No,Medium,High,Low,Better,Excellent,12,1,0,11,8,5,7,6,"Early Career","Mid Income",Veteran
54,Female,Married,No,0,Travel_Rarely,"Research & Development",Master,"Technical Degree",1217,60,13549,24001,12,1,"Research Director",3,High,No,Low,High,Low,Bad,Excellent,16,9,5,4,3,0,3,2,"Senior Employee","High Income","Early Tenure"
24,Female,Married,No,0,Travel_Rarely,Sales,College,Other,1353,33,4999,17519,21,1,"Sales Executive",2,High,No,Low,High,Low,Good,Outstanding,4,0,2,3,2,0,2,3,"Young Adult","Mid Income","Early Tenure"
28,Male,Married,No,0,Non-Travel,Sales,Bachelor,Medical,120,43,4221,8863,15,0,"Sales Executive",2,High,No,Medium,High,Medium,Best,Excellent,5,1,3,5,4,0,4,4,"Early Career","Mid Income","Early Tenure"
58,Male,Single,No,0,Travel_Rarely,Sales,Master,Medical,682,37,13872,24409,13,0,"Sales Executive",4,High,No,"Very High",High,High,Good,Excellent,38,0,1,37,10,1,8,10,"Senior Employee","High Income",Veteran
44,Male,Married,No,0,Non-Travel,"Research & Development",Bachelor,Medical,489,67,2042,25043,12,1,"Laboratory Technician",2,High,No,Medium,Medium,High,Best,Excellent,17,4,3,3,2,1,2,23,"Mid Career","Low Income","Early Tenure"
37,Male,Divorced,Yes,1,Travel_Rarely,"Human Resources",Master,"Human Resources",807,63,2073,23648,22,0,"Human Resources",1,High,Yes,High,Low,"Very High",Better,Outstanding,7,4,3,3,2,0,2,6,"Mid Career","Low Income","Early Tenure"
32,Male,Single,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",827,71,2956,15178,13,0,"Research Scientist",1,High,No,"Very High",Low,"Very High",Better,Excellent,1,1,2,1,0,0,0,1,"Early Career","Low Income","New Employee"
20,Female,Single,Yes,1,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",871,66,2926,19783,18,0,"Laboratory Technician",1,Medium,Yes,"Very High","Very High",Medium,Better,Excellent,1,1,5,1,0,1,0,6,"Young Adult","Low Income","New Employee"
34,Female,Single,No,0,Travel_Rarely,"Research & Development",Master,Other,665,41,4809,12482,14,0,"Research Scientist",2,High,No,Low,High,High,Better,Excellent,16,1,3,16,13,2,10,6,"Early Career","Mid Income",Veteran
37,Male,Divorced,No,0,Non-Travel,"Research & Development",College,"Life Sciences",1040,100,5163,15850,14,1,"Healthcare Representative",2,Medium,No,High,"Very High","Very High",Best,Excellent,17,5,2,1,0,0,0,2,"Mid Career","Mid Income","New Employee"
59,Female,Married,No,0,Non-Travel,"Human Resources",Master,"Human Resources",1420,32,18844,21922,21,1,Manager,5,Medium,No,High,"Very High","Very High",Better,Outstanding,30,9,3,3,2,2,2,2,"Senior Employee","High Income","Early Tenure"
50,Female,Married,No,0,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",1115,73,18172,9755,19,0,"Research Director",5,High,Yes,Low,Medium,Low,Good,Excellent,28,3,1,8,3,0,7,1,"Senior Employee","High Income",Experienced
25,Male,Single,Yes,1,Travel_Rarely,Sales,Bachelor,Marketing,240,46,5744,26959,11,0,"Sales Executive",2,Medium,Yes,High,High,"Very High",Better,Excellent,6,1,1,6,4,0,3,5,"Young Adult","Mid Income",Experienced
25,Male,Married,No,0,Travel_Rarely,"Research & Development","Below College",Medical,1280,64,2889,26897,11,2,"Research Scientist",1,Medium,No,"Very High","Very High",High,Better,Excellent,2,1,2,2,2,2,1,7,"Young Adult","Low Income","New Employee"
22,Female,Single,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,534,59,2871,23785,15,0,"Laboratory Technician",1,High,No,Medium,"Very High",High,Better,Excellent,1,1,5,0,0,0,0,15,"Young Adult","Low Income","New Employee"
51,Female,Single,No,0,Travel_Frequently,"Research & Development",Master,Medical,1456,30,7484,25796,20,0,"Healthcare Representative",3,Medium,No,Low,Low,High,Good,Outstanding,23,3,1,13,12,12,8,1,"Senior Employee","High Income",Veteran
